***** Train *****
{'loss': 308.963, 'learning_rate': 4.998222538215429e-05, 'epoch': 0.0}
{'loss': 229.3099, 'learning_rate': 4.996445076430857e-05, 'epoch': 0.01}
{'loss': 191.9291, 'learning_rate': 4.9946676146462854e-05, 'epoch': 0.01}
{'loss': 160.8731, 'learning_rate': 4.992890152861714e-05, 'epoch': 0.01}
{'loss': 130.5451, 'learning_rate': 4.991112691077142e-05, 'epoch': 0.02}
{'loss': 100.5701, 'learning_rate': 4.9893352292925705e-05, 'epoch': 0.02}
{'loss': 80.8733, 'learning_rate': 4.9875577675079985e-05, 'epoch': 0.02}
{'loss': 56.4824, 'learning_rate': 4.985780305723427e-05, 'epoch': 0.03}
{'loss': 46.0377, 'learning_rate': 4.984002843938855e-05, 'epoch': 0.03}
{'loss': 40.9474, 'learning_rate': 4.982225382154284e-05, 'epoch': 0.04}
{'loss': 28.5057, 'learning_rate': 4.980447920369712e-05, 'epoch': 0.04}
{'loss': 20.8392, 'learning_rate': 4.978670458585141e-05, 'epoch': 0.04}
{'loss': 25.7052, 'learning_rate': 4.976892996800569e-05, 'epoch': 0.05}
{'loss': 26.9077, 'learning_rate': 4.9751155350159974e-05, 'epoch': 0.05}
{'loss': 25.2061, 'learning_rate': 4.973338073231425e-05, 'epoch': 0.05}
{'loss': 27.2033, 'learning_rate': 4.9715606114468546e-05, 'epoch': 0.06}
{'loss': 20.3125, 'learning_rate': 4.9697831496622825e-05, 'epoch': 0.06}
{'loss': 13.916, 'learning_rate': 4.968005687877711e-05, 'epoch': 0.06}
{'loss': 14.2246, 'learning_rate': 4.966228226093139e-05, 'epoch': 0.07}
{'loss': 19.4517, 'learning_rate': 4.964450764308568e-05, 'epoch': 0.07}
{'loss': 13.1454, 'learning_rate': 4.9626733025239956e-05, 'epoch': 0.07}
{'loss': 13.0201, 'learning_rate': 4.960895840739425e-05, 'epoch': 0.08}
{'loss': 15.8997, 'learning_rate': 4.959118378954853e-05, 'epoch': 0.08}
{'loss': 15.6163, 'learning_rate': 4.9573409171702814e-05, 'epoch': 0.09}
{'loss': 14.7851, 'learning_rate': 4.9555634553857094e-05, 'epoch': 0.09}
{'loss': 11.4466, 'learning_rate': 4.953785993601138e-05, 'epoch': 0.09}
{'loss': 9.4401, 'learning_rate': 4.952008531816566e-05, 'epoch': 0.1}
{'loss': 14.9949, 'learning_rate': 4.9502310700319945e-05, 'epoch': 0.1}
{'loss': 10.3873, 'learning_rate': 4.948453608247423e-05, 'epoch': 0.1}
{'loss': 8.42, 'learning_rate': 4.946676146462851e-05, 'epoch': 0.11}
{'loss': 9.2563, 'learning_rate': 4.94489868467828e-05, 'epoch': 0.11}
{'loss': 9.1254, 'learning_rate': 4.9431212228937076e-05, 'epoch': 0.11}
{'loss': 8.765, 'learning_rate': 4.941343761109136e-05, 'epoch': 0.12}
{'loss': 9.7369, 'learning_rate': 4.939566299324564e-05, 'epoch': 0.12}
{'loss': 8.4325, 'learning_rate': 4.9377888375399934e-05, 'epoch': 0.12}
{'loss': 9.0703, 'learning_rate': 4.9360113757554214e-05, 'epoch': 0.13}
{'loss': 7.6465, 'learning_rate': 4.93423391397085e-05, 'epoch': 0.13}
{'loss': 6.9516, 'learning_rate': 4.932456452186278e-05, 'epoch': 0.14}
{'loss': 9.4965, 'learning_rate': 4.9306789904017065e-05, 'epoch': 0.14}
{'loss': 6.8705, 'learning_rate': 4.9289015286171345e-05, 'epoch': 0.14}
{'loss': 7.7035, 'learning_rate': 4.927124066832564e-05, 'epoch': 0.15}
{'loss': 8.4937, 'learning_rate': 4.925346605047992e-05, 'epoch': 0.15}
{'loss': 8.2738, 'learning_rate': 4.92356914326342e-05, 'epoch': 0.15}
{'loss': 7.462, 'learning_rate': 4.921791681478848e-05, 'epoch': 0.16}
{'loss': 4.3401, 'learning_rate': 4.920014219694277e-05, 'epoch': 0.16}
{'loss': 4.6364, 'learning_rate': 4.918236757909705e-05, 'epoch': 0.16}
{'loss': 5.1158, 'learning_rate': 4.916459296125134e-05, 'epoch': 0.17}
