***** Train *****
{'loss': 190.3151, 'learning_rate': 4.998222538215429e-05, 'epoch': 0.0}
{'loss': 128.4859, 'learning_rate': 4.996445076430857e-05, 'epoch': 0.01}
{'loss': 101.7921, 'learning_rate': 4.9946676146462854e-05, 'epoch': 0.01}
{'loss': 84.4677, 'learning_rate': 4.992890152861714e-05, 'epoch': 0.01}
{'loss': 67.8797, 'learning_rate': 4.991112691077142e-05, 'epoch': 0.02}
{'loss': 52.1821, 'learning_rate': 4.9893352292925705e-05, 'epoch': 0.02}
{'loss': 45.8764, 'learning_rate': 4.9875577675079985e-05, 'epoch': 0.02}
{'loss': 30.7131, 'learning_rate': 4.985780305723427e-05, 'epoch': 0.03}
{'loss': 30.2332, 'learning_rate': 4.984002843938855e-05, 'epoch': 0.03}
{'loss': 33.3688, 'learning_rate': 4.982225382154284e-05, 'epoch': 0.04}
{'loss': 23.9461, 'learning_rate': 4.980447920369712e-05, 'epoch': 0.04}
{'loss': 18.4226, 'learning_rate': 4.978670458585141e-05, 'epoch': 0.04}
{'loss': 23.888, 'learning_rate': 4.976892996800569e-05, 'epoch': 0.05}
{'loss': 25.6464, 'learning_rate': 4.9751155350159974e-05, 'epoch': 0.05}
{'loss': 24.0462, 'learning_rate': 4.973338073231425e-05, 'epoch': 0.05}
{'loss': 26.1346, 'learning_rate': 4.9715606114468546e-05, 'epoch': 0.06}
{'loss': 18.4182, 'learning_rate': 4.9697831496622825e-05, 'epoch': 0.06}
{'loss': 14.2646, 'learning_rate': 4.968005687877711e-05, 'epoch': 0.06}
{'loss': 14.6299, 'learning_rate': 4.966228226093139e-05, 'epoch': 0.07}
{'loss': 19.3162, 'learning_rate': 4.964450764308568e-05, 'epoch': 0.07}
{'loss': 12.1715, 'learning_rate': 4.9626733025239956e-05, 'epoch': 0.07}
{'loss': 12.4656, 'learning_rate': 4.960895840739425e-05, 'epoch': 0.08}
{'loss': 14.3234, 'learning_rate': 4.959118378954853e-05, 'epoch': 0.08}
{'loss': 15.1726, 'learning_rate': 4.9573409171702814e-05, 'epoch': 0.09}
{'loss': 14.9394, 'learning_rate': 4.9555634553857094e-05, 'epoch': 0.09}
{'loss': 12.1037, 'learning_rate': 4.953785993601138e-05, 'epoch': 0.09}
{'loss': 9.5791, 'learning_rate': 4.952008531816566e-05, 'epoch': 0.1}
{'loss': 15.0329, 'learning_rate': 4.9502310700319945e-05, 'epoch': 0.1}
{'loss': 9.9739, 'learning_rate': 4.948453608247423e-05, 'epoch': 0.1}
{'loss': 7.9366, 'learning_rate': 4.946676146462851e-05, 'epoch': 0.11}
{'loss': 8.8195, 'learning_rate': 4.94489868467828e-05, 'epoch': 0.11}
{'loss': 8.6996, 'learning_rate': 4.9431212228937076e-05, 'epoch': 0.11}
{'loss': 8.2371, 'learning_rate': 4.941343761109136e-05, 'epoch': 0.12}
{'loss': 11.9759, 'learning_rate': 4.939566299324564e-05, 'epoch': 0.12}
{'loss': 12.0982, 'learning_rate': 4.9377888375399934e-05, 'epoch': 0.12}
{'loss': 9.5084, 'learning_rate': 4.9360113757554214e-05, 'epoch': 0.13}
{'loss': 6.3027, 'learning_rate': 4.93423391397085e-05, 'epoch': 0.13}
{'loss': 8.4368, 'learning_rate': 4.932456452186278e-05, 'epoch': 0.14}
{'loss': 8.0956, 'learning_rate': 4.9306789904017065e-05, 'epoch': 0.14}
{'loss': 6.6033, 'learning_rate': 4.9289015286171345e-05, 'epoch': 0.14}
{'loss': 7.9669, 'learning_rate': 4.927124066832564e-05, 'epoch': 0.15}
{'loss': 8.5037, 'learning_rate': 4.925346605047992e-05, 'epoch': 0.15}
{'loss': 8.2487, 'learning_rate': 4.92356914326342e-05, 'epoch': 0.15}
{'loss': 8.6658, 'learning_rate': 4.921791681478848e-05, 'epoch': 0.16}
{'loss': 4.3693, 'learning_rate': 4.920014219694277e-05, 'epoch': 0.16}
{'loss': 4.5489, 'learning_rate': 4.918236757909705e-05, 'epoch': 0.16}
{'loss': 5.9742, 'learning_rate': 4.916459296125134e-05, 'epoch': 0.17}
{'loss': 7.2958, 'learning_rate': 4.914681834340562e-05, 'epoch': 0.17}
{'loss': 7.1887, 'learning_rate': 4.9129043725559906e-05, 'epoch': 0.17}
{'loss': 6.6188, 'learning_rate': 4.9111269107714185e-05, 'epoch': 0.18}
{'loss': 6.8511, 'learning_rate': 4.909349448986847e-05, 'epoch': 0.18}
{'loss': 5.4396, 'learning_rate': 4.907571987202275e-05, 'epoch': 0.18}
{'loss': 5.9508, 'learning_rate': 4.9057945254177043e-05, 'epoch': 0.19}
{'loss': 5.4818, 'learning_rate': 4.904017063633132e-05, 'epoch': 0.19}
{'loss': 5.8698, 'learning_rate': 4.902239601848561e-05, 'epoch': 0.2}
{'loss': 5.4024, 'learning_rate': 4.900462140063989e-05, 'epoch': 0.2}
{'loss': 7.1004, 'learning_rate': 4.8986846782794174e-05, 'epoch': 0.2}
{'loss': 5.0127, 'learning_rate': 4.8969072164948454e-05, 'epoch': 0.21}
{'loss': 5.3842, 'learning_rate': 4.895129754710274e-05, 'epoch': 0.21}
{'loss': 6.5141, 'learning_rate': 4.8933522929257026e-05, 'epoch': 0.21}
{'loss': 4.4734, 'learning_rate': 4.8915748311411305e-05, 'epoch': 0.22}
{'loss': 4.8673, 'learning_rate': 4.889797369356559e-05, 'epoch': 0.22}
{'loss': 4.9642, 'learning_rate': 4.888019907571987e-05, 'epoch': 0.22}
{'loss': 6.1304, 'learning_rate': 4.886242445787416e-05, 'epoch': 0.23}
{'loss': 6.2374, 'learning_rate': 4.8844649840028436e-05, 'epoch': 0.23}
{'loss': 3.4834, 'learning_rate': 4.882687522218273e-05, 'epoch': 0.23}
{'loss': 5.6743, 'learning_rate': 4.880910060433701e-05, 'epoch': 0.24}
{'loss': 6.495, 'learning_rate': 4.8791325986491294e-05, 'epoch': 0.24}
{'loss': 5.9413, 'learning_rate': 4.8773551368645574e-05, 'epoch': 0.25}
{'loss': 3.9048, 'learning_rate': 4.875577675079986e-05, 'epoch': 0.25}
{'loss': 4.685, 'learning_rate': 4.873800213295414e-05, 'epoch': 0.25}
{'loss': 4.7006, 'learning_rate': 4.872022751510843e-05, 'epoch': 0.26}
{'loss': 5.3595, 'learning_rate': 4.870245289726271e-05, 'epoch': 0.26}
{'loss': 6.2843, 'learning_rate': 4.8684678279417e-05, 'epoch': 0.26}
{'loss': 4.3215, 'learning_rate': 4.866690366157128e-05, 'epoch': 0.27}
{'loss': 3.131, 'learning_rate': 4.864912904372556e-05, 'epoch': 0.27}
{'loss': 3.2033, 'learning_rate': 4.863135442587984e-05, 'epoch': 0.27}
{'loss': 4.563, 'learning_rate': 4.8613579808034135e-05, 'epoch': 0.28}
{'loss': 3.506, 'learning_rate': 4.8595805190188414e-05, 'epoch': 0.28}
{'loss': 5.9188, 'learning_rate': 4.85780305723427e-05, 'epoch': 0.28}
{'loss': 3.8807, 'learning_rate': 4.856025595449698e-05, 'epoch': 0.29}
{'loss': 5.1349, 'learning_rate': 4.8542481336651266e-05, 'epoch': 0.29}
{'loss': 4.5293, 'learning_rate': 4.8524706718805545e-05, 'epoch': 0.3}
{'loss': 3.6577, 'learning_rate': 4.850693210095983e-05, 'epoch': 0.3}
{'loss': 4.348, 'learning_rate': 4.848915748311412e-05, 'epoch': 0.3}
{'loss': 3.2973, 'learning_rate': 4.8471382865268397e-05, 'epoch': 0.31}
{'loss': 4.341, 'learning_rate': 4.845360824742268e-05, 'epoch': 0.31}
{'loss': 3.8829, 'learning_rate': 4.843583362957697e-05, 'epoch': 0.31}
{'loss': 3.679, 'learning_rate': 4.841805901173125e-05, 'epoch': 0.32}
{'loss': 4.6765, 'learning_rate': 4.8400284393885534e-05, 'epoch': 0.32}
{'loss': 3.5536, 'learning_rate': 4.838250977603982e-05, 'epoch': 0.32}
{'loss': 3.2982, 'learning_rate': 4.83647351581941e-05, 'epoch': 0.33}
{'loss': 4.2409, 'learning_rate': 4.8346960540348386e-05, 'epoch': 0.33}
{'loss': 2.6473, 'learning_rate': 4.8329185922502665e-05, 'epoch': 0.33}
{'loss': 3.0088, 'learning_rate': 4.831141130465695e-05, 'epoch': 0.34}
{'loss': 3.7953, 'learning_rate': 4.829363668681123e-05, 'epoch': 0.34}
{'loss': 2.9702, 'learning_rate': 4.827586206896552e-05, 'epoch': 0.34}
{'loss': 2.8988, 'learning_rate': 4.82580874511198e-05, 'epoch': 0.35}
